PassengerId,Survived,Pclass,Sex,Fare,Embarked,Age,Hometown
1,0.0,3,male,7.25,S,22.0,"Bridgerule, Devon, England"
2,1.0,1,female,71.2833,C,35.0,"New York, New York, US"
3,1.0,3,female,7.925,S,26.0,"Jyväskylä, Finland"
4,1.0,1,female,53.1,S,35.0,"Scituate, Massachusetts, US"
5,0.0,3,male,8.05,S,35.0,"Birmingham, West Midlands, England"
6,0.0,3,male,8.4583,Q,22.0,"Cork, Ireland"
7,0.0,1,male,51.8625,S,54.0,"Dorchester, Massachusetts, US"
8,0.0,3,male,21.075,S,2.0,"Bjuv, Skåne, Sweden"
9,1.0,3,female,11.1333,S,26.0,"St. Charles, Illinois, US"
10,1.0,2,female,30.0708,C,14.0,"Zahlé, Lebanon, Ottoman Empire"
11,1.0,3,female,16.7,S,4.0,"Motala, Östergötland, Sweden"
12,1.0,1,female,26.55,S,61.0,"Youngstown, Ohio, US"
13,0.0,3,male,8.05,S,19.0,"St Austell, Cornwall, England"
14,0.0,3,male,31.275,S,39.0,"Kisa, Östergötland, Sweden"
15,0.0,3,female,7.8542,S,14.0,"Salmunds, Gotland, Sweden"
16,1.0,2,female,16.0,S,56.0,"Lucknow, British India, UK[note 3]"
17,0.0,3,male,29.125,Q,2.0,"Athlone, Westmeath, Ireland"
18,1.0,2,male,13.0,S,23.0,"Harrow, London, England"
19,0.0,3,female,18.0,S,31.0,"Pittem, Belgium"
20,1.0,3,female,7.225,C,22.0,"Tebnine, Lebanon"
21,0.0,2,male,26.0,S,35.0,"Liverpool, Merseyside, England, UK"
22,1.0,2,male,13.0,S,34.0,"London, England, UK"
23,1.0,3,female,8.0292,Q,16.0,"Massbrook, Mayo, Ireland"
24,1.0,1,male,35.5,S,28.0,"New Britain, Connecticut, US"
25,0.0,3,female,21.075,S,8.0,"Bjuv, Skåne, Sweden"
26,1.0,3,female,31.3875,S,38.0,"Alseda, Småland, Sweden"
27,0.0,3,male,7.225,C,25.0,"Hadath, Lebanon"
28,0.0,1,male,263.0,S,19.0,"Winnipeg, Manitoba, Canada"
29,1.0,3,female,7.8792,Q,25.0,"Limerick, Limerick, Ireland"
30,0.0,3,male,7.8958,S,23.0,"Unknown, Bulgaria"
31,0.0,1,male,27.7208,C,40.0,"Mexico City, Mexico"
32,1.0,1,female,146.5208,C,45.0,"New York, New York, US"
33,1.0,3,female,7.75,Q,19.0,"Killaloe, Clare, Ireland"
34,0.0,2,male,10.5,S,66.0,"Guernsey, Channel Islands"
35,0.0,1,male,82.1708,C,28.0,"New York, New York, US"
36,0.0,1,male,52.0,S,42.0,"New York, New York, US"
37,1.0,3,male,7.2292,C,20.0,"Tripoli, Lebanon"
38,0.0,3,male,8.05,S,21.0,"Penwithick, Cornwall, England"
39,0.0,3,female,18.0,S,18.0,"Zwevezele, Belgium"
40,1.0,3,female,11.2417,C,14.0,"El-Hakour, Lebanon"
41,0.0,3,female,9.475,S,40.0,"Göteborg, Västergötland, Sweden"
42,0.0,2,female,21.0,S,27.0,"Plymouth, Devon, England"
43,0.0,3,male,7.8958,C,,"Vetren, Bulgaria"
44,1.0,2,female,41.5792,C,3.0,"Paris, France"
45,1.0,3,female,7.8792,Q,19.0,"Kilmacowen, Sligo, Ireland"
